2025-12-17T05:37:26.709Z [debug]: Order 6729267183809 (Date: 2025-10-04): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:26.710Z [debug]: Order 6729295167681 (Date: 2025-10-04): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:26.710Z [debug]: Order 6729564291265 (Date: 2025-10-04): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:26.710Z [debug]: Order 6729643131073 (Date: 2025-10-04): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:26.710Z [debug]: Order 6729666330817 (Date: 2025-10-04): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:26.710Z [debug]: Order 6730138616001 (Date: 2025-10-04): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:35.530Z [debug]: Order 6493031006368 (Date: 2025-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:35.530Z [debug]: Order 6493390569632 (Date: 2025-10-04): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:35.530Z [debug]: Order 6493608181920 (Date: 2025-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:35.727Z [debug]: Order 6493632299168 (Date: 2025-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:35.728Z [debug]: Order 6493664280736 (Date: 2025-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:35.728Z [debug]: Order 6494014931104 (Date: 2025-10-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:35.728Z [debug]: Order 6494222254240 (Date: 2025-10-04): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:35.728Z [debug]: Order 6494289166496 (Date: 2025-10-04): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:39.412Z [debug]: Order 6729267183809 (Date: 2025-10-04): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:39.412Z [debug]: Order 6729295167681 (Date: 2025-10-04): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:39.412Z [debug]: Order 6729564291265 (Date: 2025-10-04): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:39.413Z [debug]: Order 6729643131073 (Date: 2025-10-04): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:39.413Z [debug]: Order 6729666330817 (Date: 2025-10-04): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:39.413Z [debug]: Order 6730138616001 (Date: 2025-10-04): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
