2025-12-10T18:16:50.891Z [debug]: Order 5746806849771 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:50.892Z [debug]: Order 5746817925355 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:50.892Z [debug]: Order 5746827854059 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:50.892Z [debug]: Order 5746906759403 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:50.892Z [debug]: Order 5746936479979 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:50.893Z [debug]: Order 5747018727659 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:50.893Z [debug]: Order 5747024789739 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:50.893Z [debug]: Order 5747086491883 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:50.893Z [debug]: Order 5747132858603 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.064Z [debug]: Order 5747138920683 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:51.064Z [debug]: Order 5747171786987 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.065Z [debug]: Order 5747172770027 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.065Z [debug]: Order 5747181486315 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.065Z [debug]: Order 5747185156331 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.066Z [debug]: Order 5747186860267 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.066Z [debug]: Order 5747204948203 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.066Z [debug]: Order 5747226968299 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.066Z [debug]: Order 5747227361515 (Date: 2024-05-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:51.067Z [debug]: Order 5747238043883 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:51.067Z [debug]: Order 5747239289067 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:51.067Z [debug]: Order 5747240304875 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:51.067Z [debug]: Order 5747242467563 (Date: 2024-05-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
