2025-12-17T05:37:28.442Z [debug]: Order 6337935737025 (Date: 2025-02-20): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:28.442Z [debug]: Order 6338475720897 (Date: 2025-02-20): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.398Z [debug]: Order 6199150608544 (Date: 2025-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.398Z [debug]: Order 6199776247968 (Date: 2025-02-20): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:07.399Z [debug]: Order 6199823237280 (Date: 2025-02-20): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:07.399Z [debug]: Order 6199917641888 (Date: 2025-02-20): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:07.399Z [debug]: Order 6199926063264 (Date: 2025-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.399Z [debug]: Order 6199927996576 (Date: 2025-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.399Z [debug]: Order 6200008802464 (Date: 2025-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.399Z [debug]: Order 6200139153568 (Date: 2025-02-20): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:07.603Z [debug]: Order 6200150261920 (Date: 2025-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:07.603Z [debug]: Order 6200176509088 (Date: 2025-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.604Z [debug]: Order 6200795758752 (Date: 2025-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.386Z [debug]: Order 6337935737025 (Date: 2025-02-20): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.386Z [debug]: Order 6338475720897 (Date: 2025-02-20): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
