2025-12-10T18:23:31.063Z [debug]: Order 6104226693355 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.064Z [debug]: Order 6104240128235 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.064Z [debug]: Order 6104256446699 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.064Z [debug]: Order 6104264212715 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.273Z [debug]: Order 6104265949419 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:31.484Z [debug]: Order 6104304419051 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:31.485Z [debug]: Order 6104320999659 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.485Z [debug]: Order 6104478941419 (Date: 2025-02-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.684Z [debug]: Order 6104570003691 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:31.684Z [debug]: Order 6104571478251 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.685Z [debug]: Order 6104623251691 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.685Z [debug]: Order 6104641831147 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.685Z [debug]: Order 6104649990379 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.686Z [debug]: Order 6104667324651 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.686Z [debug]: Order 6104703598827 (Date: 2025-02-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.686Z [debug]: Order 6104710447339 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.686Z [debug]: Order 6104713330923 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.686Z [debug]: Order 6104719851755 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.687Z [debug]: Order 6104741576939 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.687Z [debug]: Order 6104773591275 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.687Z [debug]: Order 6104782897387 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.687Z [debug]: Order 6104805081323 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.687Z [debug]: Order 6104816222443 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.687Z [debug]: Order 6104869404907 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.688Z [debug]: Order 6104873337067 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.688Z [debug]: Order 6104876089579 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.688Z [debug]: Order 6104880316651 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.688Z [debug]: Order 6104895684843 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.688Z [debug]: Order 6104908660971 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.688Z [debug]: Order 6104912625899 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.689Z [debug]: Order 6104931369195 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.689Z [debug]: Order 6104932188395 (Date: 2025-02-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.689Z [debug]: Order 6104932942059 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.689Z [debug]: Order 6104937332971 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.690Z [debug]: Order 6104956141803 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.690Z [debug]: Order 6104987042027 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.690Z [debug]: Order 6104989008107 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.690Z [debug]: Order 6105031835883 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.690Z [debug]: Order 6105039110379 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:31.690Z [debug]: Order 6105047236843 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.690Z [debug]: Order 6105049137387 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.880Z [debug]: Order 6105049170155 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:31.881Z [debug]: Order 6105054118123 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.881Z [debug]: Order 6105070436587 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:31.881Z [debug]: Order 6105079742699 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:32.067Z [debug]: Order 6105210847467 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:32.068Z [debug]: Order 6105327698155 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:32.068Z [debug]: Order 6105388581099 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:32.068Z [debug]: Order 6105398477035 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:32.068Z [debug]: Order 6105412010219 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:32.068Z [debug]: Order 6105441992939 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:32.068Z [debug]: Order 6105467257067 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:32.069Z [debug]: Order 6105469518059 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:32.069Z [debug]: Order 6105477710059 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:32.069Z [debug]: Order 6105514311915 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:03.113Z [debug]: Order 6297402442035 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:17:03.114Z [debug]: Order 6297593086259 (Date: 2025-02-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:17:03.114Z [debug]: Order 6298128089395 (Date: 2025-02-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
