2025-12-17T05:37:25.070Z [debug]: Order 6240677167297 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.071Z [debug]: Order 6240728383681 (Date: 2024-12-17): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.071Z [debug]: Order 6240792543425 (Date: 2024-12-17): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.071Z [debug]: Order 6240906543297 (Date: 2024-12-17): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.071Z [debug]: Order 6240917160129 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.071Z [debug]: Order 6240958283969 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.071Z [debug]: Order 6241004159169 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:01.888Z [debug]: Order 6118073041056 (Date: 2024-12-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:01.888Z [debug]: Order 6118205391008 (Date: 2024-12-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:01.888Z [debug]: Order 6118540738720 (Date: 2024-12-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:02.094Z [debug]: Order 6118748979360 (Date: 2024-12-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:02.094Z [debug]: Order 6118753763488 (Date: 2024-12-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:02.095Z [debug]: Order 6118969344160 (Date: 2024-12-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:02.298Z [debug]: Order 6119064830112 (Date: 2024-12-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:02.299Z [debug]: Order 6119362658464 (Date: 2024-12-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.979Z [debug]: Order 6240677167297 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.979Z [debug]: Order 6240728383681 (Date: 2024-12-17): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.979Z [debug]: Order 6240792543425 (Date: 2024-12-17): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.980Z [debug]: Order 6240906543297 (Date: 2024-12-17): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.980Z [debug]: Order 6240917160129 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.980Z [debug]: Order 6240958283969 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.980Z [debug]: Order 6241004159169 (Date: 2024-12-17): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
