2025-12-17T05:37:24.477Z [debug]: Order 6646646735041 (Date: 2025-08-21): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:24.477Z [debug]: Order 6646657843393 (Date: 2025-08-21): Payment Gateways: [1Cashfree Payments(UPI,Cards,Net Banking,Wallets)] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:24.477Z [debug]: Order 6646857629889 (Date: 2025-08-21): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:24.477Z [debug]: Order 6647260512449 (Date: 2025-08-21): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:24.477Z [debug]: Order 6647303667905 (Date: 2025-08-21): Payment Gateways: [PayGlocal] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:24.477Z [debug]: Order 6647335911617 (Date: 2025-08-21): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:24.477Z [debug]: Order 6647398138049 (Date: 2025-08-21): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:20.287Z [debug]: Order 6435955605664 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.288Z [debug]: Order 6436028088480 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.288Z [debug]: Order 6436112367776 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.487Z [debug]: Order 6436138254496 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:20.487Z [debug]: Order 6436213096608 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.487Z [debug]: Order 6436327719072 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.687Z [debug]: Order 6436487987360 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:20.688Z [debug]: Order 6436490150048 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.688Z [debug]: Order 6436749148320 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.688Z [debug]: Order 6436784373920 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:20.688Z [debug]: Order 6436889755808 (Date: 2025-08-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:37.149Z [debug]: Order 6646646735041 (Date: 2025-08-21): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.149Z [debug]: Order 6646657843393 (Date: 2025-08-21): Payment Gateways: [1Cashfree Payments(UPI,Cards,Net Banking,Wallets)] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.149Z [debug]: Order 6646857629889 (Date: 2025-08-21): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:37.149Z [debug]: Order 6647260512449 (Date: 2025-08-21): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.149Z [debug]: Order 6647303667905 (Date: 2025-08-21): Payment Gateways: [PayGlocal] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:37.149Z [debug]: Order 6647335911617 (Date: 2025-08-21): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:37.150Z [debug]: Order 6647398138049 (Date: 2025-08-21): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
