2025-12-10T18:16:12.129Z [debug]: Order 5671753089259 (Date: 2024-03-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5671755776235 (Date: 2024-03-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5671866433771 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5671919485163 (Date: 2024-03-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5672086798571 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5672136802539 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5672171503851 (Date: 2024-03-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5672197882091 (Date: 2024-03-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5672203223275 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.129Z [debug]: Order 5672208498923 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.130Z [debug]: Order 5672235434219 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.130Z [debug]: Order 5672244609259 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.130Z [debug]: Order 5672244936939 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.130Z [debug]: Order 5672262467819 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.130Z [debug]: Order 5672268923115 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.130Z [debug]: Order 5672278458603 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.130Z [debug]: Order 5672283799787 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.280Z [debug]: Order 5672285077739 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:12.280Z [debug]: Order 5672292810987 (Date: 2024-03-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:12.280Z [debug]: Order 5672299200747 (Date: 2024-03-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
