2025-12-10T18:23:24.819Z [debug]: Order 6088836186347 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.819Z [debug]: Order 6088878555371 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.819Z [debug]: Order 6089238085867 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.819Z [debug]: Order 6089281831147 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.819Z [debug]: Order 6089283600619 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089287827691 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089291497707 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089299132651 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089316401387 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089334849771 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089349103851 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089364242667 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.820Z [debug]: Order 6089372860651 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089383641323 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089384198379 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089384362219 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089388622059 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089392947435 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089395896555 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089402220779 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089412804843 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:24.821Z [debug]: Order 6089450815723 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:24.822Z [debug]: Order 6089479127275 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:25.006Z [debug]: Order 6089510945003 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:25.007Z [debug]: Order 6089633104107 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.007Z [debug]: Order 6089770500331 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.007Z [debug]: Order 6089914613995 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.007Z [debug]: Order 6089921265899 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.195Z [debug]: Order 6089978446059 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:25.196Z [debug]: Order 6090077077739 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.389Z [debug]: Order 6090087071979 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:25.389Z [debug]: Order 6090110468331 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.389Z [debug]: Order 6090131603691 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:25.390Z [debug]: Order 6090153984235 (Date: 2025-02-05): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:25.390Z [debug]: Order 6090170204395 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.390Z [debug]: Order 6090190225643 (Date: 2025-02-05): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.390Z [debug]: Order 6090195140843 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.390Z [debug]: Order 6090275848427 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.390Z [debug]: Order 6090291708139 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:25.390Z [debug]: Order 6090338828523 (Date: 2025-02-05): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:02.935Z [debug]: Order 6270462460211 (Date: 2025-02-05): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
