2025-12-17T05:37:28.073Z [debug]: Order 6582070476993 (Date: 2025-07-14): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:28.073Z [debug]: Order 6582177104065 (Date: 2025-07-14): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.073Z [debug]: Order 6582337863873 (Date: 2025-07-14): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:28.073Z [debug]: Order 6582456221889 (Date: 2025-07-14): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:42.048Z [debug]: Order 6387186761888 (Date: 2025-07-14): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:42.048Z [debug]: Order 6387217465504 (Date: 2025-07-14): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:42.048Z [debug]: Order 6387456704672 (Date: 2025-07-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.048Z [debug]: Order 6387465486496 (Date: 2025-07-14): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.048Z [debug]: Order 6387550617760 (Date: 2025-07-14): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:40.222Z [debug]: Order 6582070476993 (Date: 2025-07-14): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:40.222Z [debug]: Order 6582177104065 (Date: 2025-07-14): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:40.222Z [debug]: Order 6582337863873 (Date: 2025-07-14): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:40.222Z [debug]: Order 6582456221889 (Date: 2025-07-14): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
