2025-12-17T05:37:22.842Z [debug]: Order 6417601822913 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:23.036Z [debug]: Order 6417733189825 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:37:23.036Z [debug]: Order 6417740660929 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:23.036Z [debug]: Order 6418061721793 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:21.652Z [debug]: Order 6269088333984 (Date: 2025-04-12): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:21.652Z [debug]: Order 6269106520224 (Date: 2025-04-12): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:21.652Z [debug]: Order 6269237657760 (Date: 2025-04-12): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:21.652Z [debug]: Order 6269238214816 (Date: 2025-04-12): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:21.652Z [debug]: Order 6269570482336 (Date: 2025-04-12): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:34.689Z [debug]: Order 6417601822913 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:34.895Z [debug]: Order 6417733189825 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:25:34.895Z [debug]: Order 6417740660929 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:34.896Z [debug]: Order 6418061721793 (Date: 2025-04-12): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
