2025-12-17T05:35:58.143Z [debug]: Order 5784366416065 (Date: 2024-03-03): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:58.143Z [debug]: Order 5784729813185 (Date: 2024-03-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:58.144Z [debug]: Order 5784834277569 (Date: 2024-03-03): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:31.524Z [debug]: Order 5681225072800 (Date: 2024-03-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:31.525Z [debug]: Order 5681333731488 (Date: 2024-03-03): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:31.525Z [debug]: Order 5681959338144 (Date: 2024-03-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:31.743Z [debug]: Order 5681965695136 (Date: 2024-03-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:13.061Z [debug]: Order 5784366416065 (Date: 2024-03-03): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:13.062Z [debug]: Order 5784729813185 (Date: 2024-03-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:24:13.062Z [debug]: Order 5784834277569 (Date: 2024-03-03): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
