2025-12-10T18:18:31.207Z [debug]: Order 5979177976043 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.208Z [debug]: Order 5979202650347 (Date: 2024-11-04): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.208Z [debug]: Order 5979204681963 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.397Z [debug]: Order 5979215855851 (Date: 2024-11-04): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:31.398Z [debug]: Order 5979238695147 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.398Z [debug]: Order 5979245347051 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.398Z [debug]: Order 5979258421483 (Date: 2024-11-04): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:31.586Z [debug]: Order 5979259568363 (Date: 2024-11-04): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:31.586Z [debug]: Order 5979272315115 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.586Z [debug]: Order 5979275460843 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.587Z [debug]: Order 5979277328619 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.587Z [debug]: Order 5979299381483 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.587Z [debug]: Order 5979323662571 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.587Z [debug]: Order 5979338277099 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.588Z [debug]: Order 5979343388907 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.588Z [debug]: Order 5979356725483 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.588Z [debug]: Order 5979399586027 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.588Z [debug]: Order 5979415150827 (Date: 2024-11-04): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:31.589Z [debug]: Order 5979438285035 (Date: 2024-11-04): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:16:22.057Z [debug]: Order 6113974518067 (Date: 2024-11-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:16:22.057Z [debug]: Order 6114049851699 (Date: 2024-11-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
