2025-12-10T18:16:44.104Z [debug]: Order 5739120656619 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.267Z [debug]: Order 5739136254187 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:44.430Z [debug]: Order 5739148804331 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:44.600Z [debug]: Order 5739185602795 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:44.600Z [debug]: Order 5739232788715 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.601Z [debug]: Order 5739399643371 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.601Z [debug]: Order 5739443650795 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.601Z [debug]: Order 5739459150059 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.602Z [debug]: Order 5739465179371 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.602Z [debug]: Order 5739494277355 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.602Z [debug]: Order 5739495784683 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.766Z [debug]: Order 5739535958251 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:44.766Z [debug]: Order 5739537203435 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739537334507 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739551752427 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739554439403 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739558240491 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739582456043 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739589861611 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739618238699 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739619680491 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739623710955 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.767Z [debug]: Order 5739645403371 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.768Z [debug]: Order 5739660083435 (Date: 2024-05-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.768Z [debug]: Order 5739663327467 (Date: 2024-05-07): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:44.768Z [debug]: Order 5739671847147 (Date: 2024-05-07): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:44.768Z [debug]: Order 5739676369131 (Date: 2024-05-07): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
