2025-12-17T05:35:40.618Z [debug]: Order 5891113746625 (Date: 2024-05-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:40.618Z [debug]: Order 5891184394433 (Date: 2024-05-13): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:23.655Z [debug]: Order 5790429315232 (Date: 2024-05-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:23.655Z [debug]: Order 5790505664672 (Date: 2024-05-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:23.656Z [debug]: Order 5790565957792 (Date: 2024-05-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:23.656Z [debug]: Order 5790715773088 (Date: 2024-05-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:23.656Z [debug]: Order 5790904025248 (Date: 2024-05-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:23.656Z [debug]: Order 5791061672096 (Date: 2024-05-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:23.656Z [debug]: Order 5791360549024 (Date: 2024-05-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.549Z [debug]: Order 5891113746625 (Date: 2024-05-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.550Z [debug]: Order 5891184394433 (Date: 2024-05-13): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
