2025-12-10T18:23:59.744Z [debug]: Order 6527834849515 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:59.744Z [debug]: Order 6527940559083 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.745Z [debug]: Order 6528076546283 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.745Z [debug]: Order 6528136577259 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:59.745Z [debug]: Order 6528243597547 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.746Z [debug]: Order 6528244973803 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.746Z [debug]: Order 6528325812459 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.746Z [debug]: Order 6528340001003 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.746Z [debug]: Order 6528368115947 (Date: 2025-10-28): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.747Z [debug]: Order 6528419102955 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.747Z [debug]: Order 6528466223339 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:59.747Z [debug]: Order 6528468287723 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.747Z [debug]: Order 6528504725739 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.748Z [debug]: Order 6528506200299 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:59.748Z [debug]: Order 6528526844139 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.748Z [debug]: Order 6528590545131 (Date: 2025-10-28): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.748Z [debug]: Order 6528649724139 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.748Z [debug]: Order 6528685277419 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:59.748Z [debug]: Order 6528753860843 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:59.748Z [debug]: Order 6528766836971 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:59.749Z [debug]: Order 6528797868267 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.749Z [debug]: Order 6528803242219 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.749Z [debug]: Order 6528820314347 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.749Z [debug]: Order 6529003585771 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.933Z [debug]: Order 6529053065451 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:59.934Z [debug]: Order 6529099923691 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.934Z [debug]: Order 6529100710123 (Date: 2025-10-28): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:59.934Z [debug]: Order 6529127383275 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.934Z [debug]: Order 6529155563755 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.934Z [debug]: Order 6529218969835 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.935Z [debug]: Order 6529263861995 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:59.935Z [debug]: Order 6529279525099 (Date: 2025-10-28): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:10:01.340Z [debug]: Order 6214673563837 (Date: 2025-10-28): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
