2025-12-17T05:35:44.579Z [debug]: Order 5725393584321 (Date: 2024-01-23): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:44.579Z [debug]: Order 5725861085377 (Date: 2024-01-23): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:44.579Z [debug]: Order 5725908959425 (Date: 2024-01-23): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:21.661Z [debug]: Order 5621266383008 (Date: 2024-01-23): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:21.661Z [debug]: Order 5621370224800 (Date: 2024-01-23): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:21.661Z [debug]: Order 5621471936672 (Date: 2024-01-23): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:21.661Z [debug]: Order 5621503066272 (Date: 2024-01-23): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:21.662Z [debug]: Order 5621705277600 (Date: 2024-01-23): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:21.662Z [debug]: Order 5621727133856 (Date: 2024-01-23): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:21.662Z [debug]: Order 5622077849760 (Date: 2024-01-23): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:59.327Z [debug]: Order 5725393584321 (Date: 2024-01-23): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:59.327Z [debug]: Order 5725861085377 (Date: 2024-01-23): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:59.327Z [debug]: Order 5725908959425 (Date: 2024-01-23): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
