2025-12-17T05:37:28.751Z [debug]: Order 6794857021633 (Date: 2025-11-03): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.751Z [debug]: Order 6795881873601 (Date: 2025-11-03): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.751Z [debug]: Order 6795974312129 (Date: 2025-11-03): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:44.738Z [debug]: Order 6533506334880 (Date: 2025-11-03): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:44.739Z [debug]: Order 6533667586208 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.739Z [debug]: Order 6533723193504 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.739Z [debug]: Order 6533767561376 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.739Z [debug]: Order 6533786206368 (Date: 2025-11-03): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:44.739Z [debug]: Order 6533812650144 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.739Z [debug]: Order 6533893259424 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.740Z [debug]: Order 6533929730208 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.740Z [debug]: Order 6534001361056 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:44.740Z [debug]: Order 6534126370976 (Date: 2025-11-03): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.525Z [debug]: Order 6794857021633 (Date: 2025-11-03): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:41.525Z [debug]: Order 6795881873601 (Date: 2025-11-03): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:41.525Z [debug]: Order 6795974312129 (Date: 2025-11-03): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
