2025-12-10T18:18:41.504Z [debug]: Order 5988213522667 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.504Z [debug]: Order 5988218208491 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.505Z [debug]: Order 5988228333803 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.505Z [debug]: Order 5988260970731 (Date: 2024-11-13): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.505Z [debug]: Order 5988376314091 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.505Z [debug]: Order 5988545429739 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.505Z [debug]: Order 5988626137323 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.696Z [debug]: Order 5988761927915 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:41.697Z [debug]: Order 5988762845419 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.697Z [debug]: Order 5988768186603 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.698Z [debug]: Order 5988770873579 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.698Z [debug]: Order 5988773986539 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.698Z [debug]: Order 5988777689323 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.698Z [debug]: Order 5988797645035 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.699Z [debug]: Order 5988801282283 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.699Z [debug]: Order 5988801806571 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.699Z [debug]: Order 5988805771499 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.887Z [debug]: Order 5988820943083 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:41.888Z [debug]: Order 5988821827819 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.888Z [debug]: Order 5988822483179 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.888Z [debug]: Order 5988830445803 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.889Z [debug]: Order 5988832215275 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.889Z [debug]: Order 5988843028715 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.889Z [debug]: Order 5988850434283 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.889Z [debug]: Order 5988851220715 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.890Z [debug]: Order 5988862689515 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.890Z [debug]: Order 5988892967147 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.890Z [debug]: Order 5988898537707 (Date: 2024-11-13): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.890Z [debug]: Order 5988906991851 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.891Z [debug]: Order 5988907286763 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.891Z [debug]: Order 5988924162283 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.891Z [debug]: Order 5988927832299 (Date: 2024-11-13): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.891Z [debug]: Order 5988931698923 (Date: 2024-11-13): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.892Z [debug]: Order 5988948541675 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.892Z [debug]: Order 5988948803819 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.892Z [debug]: Order 5988952735979 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.892Z [debug]: Order 5988960370923 (Date: 2024-11-13): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.892Z [debug]: Order 5988962042091 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.892Z [debug]: Order 5988972593387 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.893Z [debug]: Order 5988975771883 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.893Z [debug]: Order 5988991533291 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.893Z [debug]: Order 5988992680171 (Date: 2024-11-13): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.893Z [debug]: Order 5989011652843 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.893Z [debug]: Order 5989016568043 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.893Z [debug]: Order 5989022859499 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.894Z [debug]: Order 5989047009515 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.894Z [debug]: Order 5989071487211 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.894Z [debug]: Order 5989081448683 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.895Z [debug]: Order 5989109530859 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:41.895Z [debug]: Order 5989132337387 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.895Z [debug]: Order 5989132468459 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.895Z [debug]: Order 5989145215211 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:41.896Z [debug]: Order 5989181718763 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:42.102Z [debug]: Order 5989184012523 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:42.103Z [debug]: Order 5989187682539 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:42.103Z [debug]: Order 5989193842923 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:42.104Z [debug]: Order 5989208981739 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:42.104Z [debug]: Order 5989212520683 (Date: 2024-11-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:42.609Z [debug]: Order 5989248565483 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:42.610Z [debug]: Order 5989256790251 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:42.610Z [debug]: Order 5989260886251 (Date: 2024-11-13): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
