2025-12-17T05:37:25.387Z [debug]: Order 6678191734977 (Date: 2025-09-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:25.387Z [debug]: Order 6678269427905 (Date: 2025-09-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:25.388Z [debug]: Order 6678484746433 (Date: 2025-09-06): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.388Z [debug]: Order 6678493003969 (Date: 2025-09-06): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.388Z [debug]: Order 6678706258113 (Date: 2025-09-06): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.388Z [debug]: Order 6678711402689 (Date: 2025-09-06): Payment Gateways: [cash_on_delivery, manual] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:26.774Z [debug]: Order 6457593266336 (Date: 2025-09-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:26.774Z [debug]: Order 6457628033184 (Date: 2025-09-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:26.977Z [debug]: Order 6457680560288 (Date: 2025-09-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:26.977Z [debug]: Order 6457948504224 (Date: 2025-09-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:26.977Z [debug]: Order 6457952370848 (Date: 2025-09-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:26.978Z [debug]: Order 6457958465696 (Date: 2025-09-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:26.978Z [debug]: Order 6458001162400 (Date: 2025-09-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:26.978Z [debug]: Order 6458332414112 (Date: 2025-09-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:26.978Z [debug]: Order 6458482720928 (Date: 2025-09-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.090Z [debug]: Order 6678191734977 (Date: 2025-09-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:38.090Z [debug]: Order 6678269427905 (Date: 2025-09-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:38.090Z [debug]: Order 6678484746433 (Date: 2025-09-06): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.091Z [debug]: Order 6678493003969 (Date: 2025-09-06): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.091Z [debug]: Order 6678706258113 (Date: 2025-09-06): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.091Z [debug]: Order 6678711402689 (Date: 2025-09-06): Payment Gateways: [cash_on_delivery, manual] | isCOD: true | isPrepaid: false | Cancelled: false
