2025-12-17T05:35:41.200Z [debug]: Order 6171010072769 (Date: 2024-11-09): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:41.200Z [debug]: Order 6171017609409 (Date: 2024-11-09): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:41.200Z [debug]: Order 6171557232833 (Date: 2024-11-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.049Z [debug]: Order 6061613875360 (Date: 2024-11-09): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:38.050Z [debug]: Order 6061843021984 (Date: 2024-11-09): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:38.050Z [debug]: Order 6061877297312 (Date: 2024-11-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.050Z [debug]: Order 6061899055264 (Date: 2024-11-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.050Z [debug]: Order 6061920682144 (Date: 2024-11-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.050Z [debug]: Order 6062011777184 (Date: 2024-11-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:38.274Z [debug]: Order 6062114144416 (Date: 2024-11-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:38.274Z [debug]: Order 6062180204704 (Date: 2024-11-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.791Z [debug]: Order 6171010072769 (Date: 2024-11-09): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:56.791Z [debug]: Order 6171017609409 (Date: 2024-11-09): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:56.792Z [debug]: Order 6171557232833 (Date: 2024-11-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
