2025-12-17T05:35:39.385Z [debug]: Order 6121671622849 (Date: 2024-10-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:39.386Z [debug]: Order 6121707438273 (Date: 2024-10-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:39.386Z [debug]: Order 6121723723969 (Date: 2024-10-06): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:39.386Z [debug]: Order 6121968140481 (Date: 2024-10-06): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:31.355Z [debug]: Order 6019987734688 (Date: 2024-10-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:31.532Z [debug]: Order 6019991044256 (Date: 2024-10-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:31.532Z [debug]: Order 6020634149024 (Date: 2024-10-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:31.738Z [debug]: Order 6020657512608 (Date: 2024-10-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:31.738Z [debug]: Order 6020680679584 (Date: 2024-10-06): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:31.738Z [debug]: Order 6020705255584 (Date: 2024-10-06): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.752Z [debug]: Order 6121671622849 (Date: 2024-10-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.752Z [debug]: Order 6121707438273 (Date: 2024-10-06): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.752Z [debug]: Order 6121723723969 (Date: 2024-10-06): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.752Z [debug]: Order 6121968140481 (Date: 2024-10-06): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
