2025-12-16T04:45:29.012Z [debug]: Order 6146311422145 (Date: 2024-10-23): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-16T04:45:29.013Z [debug]: Order 6146316697793 (Date: 2024-10-23): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-16T04:45:29.014Z [debug]: Order 6146609971393 (Date: 2024-10-23): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-16T04:45:29.014Z [debug]: Order 6146612363457 (Date: 2024-10-23): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-16T04:45:29.014Z [debug]: Order 6146642444481 (Date: 2024-10-23): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-16T04:45:29.015Z [debug]: Order 6146714697921 (Date: 2024-10-23): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-16T04:45:29.015Z [debug]: Order 6146768634049 (Date: 2024-10-23): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-16T04:45:29.015Z [debug]: Order 6146811527361 (Date: 2024-10-23): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-16T04:45:29.015Z [debug]: Order 6147182330049 (Date: 2024-10-23): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
