2025-12-10T18:23:11.036Z [debug]: Order 6298157285611 (Date: 2025-06-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.036Z [debug]: Order 6298167050475 (Date: 2025-06-15): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:11.036Z [debug]: Order 6298178683115 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.036Z [debug]: Order 6298272137451 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.036Z [debug]: Order 6298315784427 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.037Z [debug]: Order 6298548109547 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.037Z [debug]: Order 6298550993131 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.037Z [debug]: Order 6298589593835 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.037Z [debug]: Order 6298604142827 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.037Z [debug]: Order 6298616889579 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.037Z [debug]: Order 6298629374187 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.037Z [debug]: Order 6298642874603 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298659356907 (Date: 2025-06-15): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298695696619 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298710868203 (Date: 2025-06-15): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298751271147 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298804519147 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298808353003 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298813726955 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298815299819 (Date: 2025-06-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.038Z [debug]: Order 6298829422827 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6298855997675 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6298879131883 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6298915406059 (Date: 2025-06-15): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6298974159083 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6299010236651 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6299011940587 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6299028160747 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6299045232875 (Date: 2025-06-15): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:11.039Z [debug]: Order 6299053293803 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299165491435 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299186888939 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299218641131 (Date: 2025-06-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299222507755 (Date: 2025-06-15): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299227554027 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299230896363 (Date: 2025-06-15): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299252359403 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:11.040Z [debug]: Order 6299272478955 (Date: 2025-06-15): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:12.655Z [debug]: Order 6470231687475 (Date: 2025-06-15): Payment Gateways: [PortOne Payments] | isCOD: false | isPrepaid: true | Cancelled: false
