2025-12-10T18:23:26.229Z [debug]: Order 6452740227307 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.230Z [debug]: Order 6452766540011 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.230Z [debug]: Order 6452800192747 (Date: 2025-09-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.230Z [debug]: Order 6452870807787 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.231Z [debug]: Order 6452992049387 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.231Z [debug]: Order 6453130232043 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.231Z [debug]: Order 6453201633515 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.231Z [debug]: Order 6453223915755 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.231Z [debug]: Order 6453229813995 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.232Z [debug]: Order 6453237580011 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.232Z [debug]: Order 6453239218411 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.232Z [debug]: Order 6453256421611 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.232Z [debug]: Order 6453266677995 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.232Z [debug]: Order 6453278507243 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.232Z [debug]: Order 6453284372715 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.232Z [debug]: Order 6453301281003 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.233Z [debug]: Order 6453319565547 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.233Z [debug]: Order 6453327593707 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.233Z [debug]: Order 6453350433003 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.233Z [debug]: Order 6453354823915 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.233Z [debug]: Order 6453357740267 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.233Z [debug]: Order 6453367210219 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.233Z [debug]: Order 6453374877931 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.420Z [debug]: Order 6453383299307 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:26.421Z [debug]: Order 6453391851755 (Date: 2025-09-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.421Z [debug]: Order 6453392212203 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.421Z [debug]: Order 6453397324011 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.422Z [debug]: Order 6453403287787 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.650Z [debug]: Order 6453423636715 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:26.651Z [debug]: Order 6453432189163 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.651Z [debug]: Order 6453434056939 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.651Z [debug]: Order 6453448278251 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.652Z [debug]: Order 6453455847659 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.831Z [debug]: Order 6453486190827 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:26.831Z [debug]: Order 6453486649579 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.831Z [debug]: Order 6453490778347 (Date: 2025-09-13): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.832Z [debug]: Order 6453507326187 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.832Z [debug]: Order 6453511979243 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:26.832Z [debug]: Order 6453512044779 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:26.832Z [debug]: Order 6453516697835 (Date: 2025-09-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:27.813Z [debug]: Order 6453519286507 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:27.813Z [debug]: Order 6453552742635 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:27.813Z [debug]: Order 6453553168619 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:27.813Z [debug]: Order 6453570535659 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:27.813Z [debug]: Order 6453618540779 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:27.813Z [debug]: Order 6453651439851 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:27.813Z [debug]: Order 6453691351275 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:27.813Z [debug]: Order 6453727559915 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.028Z [debug]: Order 6453798338795 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:23:28.029Z [debug]: Order 6453800698091 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:28.029Z [debug]: Order 6453826945259 (Date: 2025-09-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.029Z [debug]: Order 6453833335019 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:28.030Z [debug]: Order 6453854339307 (Date: 2025-09-13): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.030Z [debug]: Order 6453901754603 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:28.030Z [debug]: Order 6453912600811 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.030Z [debug]: Order 6453931311339 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.030Z [debug]: Order 6453932851435 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.031Z [debug]: Order 6453935964395 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:28.031Z [debug]: Order 6453963063531 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.212Z [debug]: Order 6453967093995 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:28.391Z [debug]: Order 6453971517675 (Date: 2025-09-13): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:28.391Z [debug]: Order 6453978661099 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.392Z [debug]: Order 6453987410155 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:28.392Z [debug]: Order 6454047375595 (Date: 2025-09-13): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:09:46.389Z [debug]: Order 6152502804669 (Date: 2025-09-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-11T04:09:46.390Z [debug]: Order 6152578564285 (Date: 2025-09-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:09:46.390Z [debug]: Order 6152580432061 (Date: 2025-09-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:09:46.570Z [debug]: Order 6152680407229 (Date: 2025-09-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-11T04:09:46.791Z [debug]: Order 6152735654077 (Date: 2025-09-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-11T04:09:46.792Z [debug]: Order 6152763474109 (Date: 2025-09-13): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:09:46.792Z [debug]: Order 6152842772669 (Date: 2025-09-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:17:05.615Z [debug]: Order 6637645136179 (Date: 2025-09-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:17:05.616Z [debug]: Order 6637699793203 (Date: 2025-09-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:17:05.616Z [debug]: Order 6637731610931 (Date: 2025-09-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
