2025-12-17T05:37:27.843Z [debug]: Order 6779933524161 (Date: 2025-10-26): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:27.843Z [debug]: Order 6780292497601 (Date: 2025-10-26): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.547Z [debug]: Order 6521545818272 (Date: 2025-10-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.547Z [debug]: Order 6521600770208 (Date: 2025-10-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:42.547Z [debug]: Order 6521799803040 (Date: 2025-10-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.547Z [debug]: Order 6521823363232 (Date: 2025-10-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:42.746Z [debug]: Order 6521847939232 (Date: 2025-10-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:42.747Z [debug]: Order 6522016039072 (Date: 2025-10-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.747Z [debug]: Order 6522130661536 (Date: 2025-10-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:42.747Z [debug]: Order 6522440384672 (Date: 2025-10-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:42.747Z [debug]: Order 6522537443488 (Date: 2025-10-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.940Z [debug]: Order 6522555662496 (Date: 2025-10-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:42.940Z [debug]: Order 6522590593184 (Date: 2025-10-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:40.583Z [debug]: Order 6779933524161 (Date: 2025-10-26): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:40.583Z [debug]: Order 6780292497601 (Date: 2025-10-26): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
