2025-12-17T05:35:39.010Z [debug]: Order 6095285584065 (Date: 2024-09-19): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:39.010Z [debug]: Order 6095484027073 (Date: 2024-09-19): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:39.011Z [debug]: Order 6095652094145 (Date: 2024-09-19): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.975Z [debug]: Order 5994133094560 (Date: 2024-09-19): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.975Z [debug]: Order 5994542596256 (Date: 2024-09-19): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.975Z [debug]: Order 5994620453024 (Date: 2024-09-19): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:25.976Z [debug]: Order 5994689003680 (Date: 2024-09-19): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:25.976Z [debug]: Order 5994953769120 (Date: 2024-09-19): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:25.976Z [debug]: Order 5994981851296 (Date: 2024-09-19): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.976Z [debug]: Order 5994993909920 (Date: 2024-09-19): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:25.976Z [debug]: Order 5995049779360 (Date: 2024-09-19): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.977Z [debug]: Order 5995202150560 (Date: 2024-09-19): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.281Z [debug]: Order 6095285584065 (Date: 2024-09-19): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.282Z [debug]: Order 6095484027073 (Date: 2024-09-19): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.282Z [debug]: Order 6095652094145 (Date: 2024-09-19): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
