2025-12-17T05:37:25.647Z [debug]: Order 6291374473409 (Date: 2025-01-21): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.647Z [debug]: Order 6291441156289 (Date: 2025-01-21): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.647Z [debug]: Order 6291666698433 (Date: 2025-01-21): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.647Z [debug]: Order 6291675054273 (Date: 2025-01-21): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.647Z [debug]: Order 6291910918337 (Date: 2025-01-21): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:05.427Z [debug]: Order 6160608624800 (Date: 2025-01-21): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:05.428Z [debug]: Order 6160650895520 (Date: 2025-01-21): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:05.428Z [debug]: Order 6160767320224 (Date: 2025-01-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:05.428Z [debug]: Order 6160839704736 (Date: 2025-01-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:05.428Z [debug]: Order 6161186128032 (Date: 2025-01-21): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:05.429Z [debug]: Order 6161299407008 (Date: 2025-01-21): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:38.538Z [debug]: Order 6291374473409 (Date: 2025-01-21): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.538Z [debug]: Order 6291441156289 (Date: 2025-01-21): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.538Z [debug]: Order 6291666698433 (Date: 2025-01-21): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.538Z [debug]: Order 6291675054273 (Date: 2025-01-21): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.538Z [debug]: Order 6291910918337 (Date: 2025-01-21): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
