2025-12-10T18:23:34.905Z [debug]: Order 6464214663403 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:34.905Z [debug]: Order 6464217317611 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.905Z [debug]: Order 6464247464171 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.906Z [debug]: Order 6464274858219 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.906Z [debug]: Order 6464276037867 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.906Z [debug]: Order 6464307462379 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.906Z [debug]: Order 6464342687979 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.906Z [debug]: Order 6464591003883 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.907Z [debug]: Order 6464672923883 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.907Z [debug]: Order 6464701563115 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.907Z [debug]: Order 6464702775531 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.907Z [debug]: Order 6464704643307 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.907Z [debug]: Order 6464745079019 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.908Z [debug]: Order 6464775946475 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.908Z [debug]: Order 6464782893291 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.908Z [debug]: Order 6464799604971 (Date: 2025-09-22): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.908Z [debug]: Order 6464805929195 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.908Z [debug]: Order 6464808091883 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.909Z [debug]: Order 6464830406891 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.909Z [debug]: Order 6464837615851 (Date: 2025-09-22): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.909Z [debug]: Order 6464840696043 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.909Z [debug]: Order 6464845775083 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.909Z [debug]: Order 6464850493675 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.909Z [debug]: Order 6464853246187 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.909Z [debug]: Order 6464853442795 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.910Z [debug]: Order 6464876183787 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.910Z [debug]: Order 6464907346155 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.910Z [debug]: Order 6464911343851 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.910Z [debug]: Order 6464924123371 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.910Z [debug]: Order 6464924680427 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:35.090Z [debug]: Order 6464936739051 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:35.090Z [debug]: Order 6464941523179 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:35.091Z [debug]: Order 6464941850859 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.091Z [debug]: Order 6464944046315 (Date: 2025-09-22): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.283Z [debug]: Order 6464945258731 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:35.284Z [debug]: Order 6464969736427 (Date: 2025-09-22): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
