2025-12-17T05:36:02.641Z [debug]: Order 5814490398913 (Date: 2024-03-24): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:36:02.641Z [debug]: Order 5815034937537 (Date: 2024-03-24): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:36:02.641Z [debug]: Order 5815052370113 (Date: 2024-03-24): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:36:02.641Z [debug]: Order 5815187767489 (Date: 2024-03-24): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:36:02.641Z [debug]: Order 5815303241921 (Date: 2024-03-24): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.160Z [debug]: Order 5710325285024 (Date: 2024-03-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.160Z [debug]: Order 5710387675296 (Date: 2024-03-24): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.160Z [debug]: Order 5710662893728 (Date: 2024-03-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.160Z [debug]: Order 5710861107360 (Date: 2024-03-24): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.160Z [debug]: Order 5711022260384 (Date: 2024-03-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:24:17.606Z [debug]: Order 5814490398913 (Date: 2024-03-24): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:17.606Z [debug]: Order 5815034937537 (Date: 2024-03-24): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:17.606Z [debug]: Order 5815052370113 (Date: 2024-03-24): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:17.606Z [debug]: Order 5815187767489 (Date: 2024-03-24): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:17.606Z [debug]: Order 5815303241921 (Date: 2024-03-24): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
