2025-12-17T05:35:42.093Z [debug]: Order 5684645429441 (Date: 2023-12-31): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:42.272Z [debug]: Order 5684862517441 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:42.273Z [debug]: Order 5684923957441 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:42.273Z [debug]: Order 5684962656449 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:42.273Z [debug]: Order 5685138030785 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:42.273Z [debug]: Order 5685555953857 (Date: 2023-12-31): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:17.910Z [debug]: Order 5590208905376 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:18.109Z [debug]: Order 5590469476512 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:18.109Z [debug]: Order 5590474948768 (Date: 2023-12-31): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:18.110Z [debug]: Order 5590483959968 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:18.312Z [debug]: Order 5590485434528 (Date: 2023-12-31): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:48:18.313Z [debug]: Order 5590499459232 (Date: 2023-12-31): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:18.899Z [debug]: Order 5590584492192 (Date: 2023-12-31): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T06:23:56.480Z [debug]: Order 5684645429441 (Date: 2023-12-31): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:56.661Z [debug]: Order 5684862517441 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:56.662Z [debug]: Order 5684923957441 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.662Z [debug]: Order 5684962656449 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.662Z [debug]: Order 5685138030785 (Date: 2023-12-31): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:56.662Z [debug]: Order 5685555953857 (Date: 2023-12-31): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
