2025-12-17T05:35:50.677Z [debug]: Order 5748785873089 (Date: 2024-02-08): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:50.677Z [debug]: Order 5749204746433 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:50.677Z [debug]: Order 5749211922625 (Date: 2024-02-08): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:50.858Z [debug]: Order 5749252030657 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:51.039Z [debug]: Order 5749258584257 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:51.251Z [debug]: Order 5749262254273 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:51.472Z [debug]: Order 5749281652929 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:51.652Z [debug]: Order 5749282537665 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:51.839Z [debug]: Order 5749284405441 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:51.839Z [debug]: Order 5749405221057 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:51.839Z [debug]: Order 5749503492289 (Date: 2024-02-08): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.884Z [debug]: Order 5646458585248 (Date: 2024-02-08): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:22.885Z [debug]: Order 5646501871776 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:22.885Z [debug]: Order 5646596669600 (Date: 2024-02-08): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:23.082Z [debug]: Order 5646704181408 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:23.082Z [debug]: Order 5646744977568 (Date: 2024-02-08): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:23.277Z [debug]: Order 5646906163360 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:05.325Z [debug]: Order 5748785873089 (Date: 2024-02-08): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:05.326Z [debug]: Order 5749204746433 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:24:05.326Z [debug]: Order 5749211922625 (Date: 2024-02-08): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:24:05.505Z [debug]: Order 5749252030657 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:05.686Z [debug]: Order 5749258584257 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:05.867Z [debug]: Order 5749262254273 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:06.051Z [debug]: Order 5749281652929 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:06.228Z [debug]: Order 5749282537665 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:06.405Z [debug]: Order 5749284405441 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:06.405Z [debug]: Order 5749405221057 (Date: 2024-02-08): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:24:06.405Z [debug]: Order 5749503492289 (Date: 2024-02-08): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
