2025-12-10T18:23:34.353Z [debug]: Order 6107831468267 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:34.354Z [debug]: Order 6107851489515 (Date: 2025-02-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.538Z [debug]: Order 6107875213547 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:34.538Z [debug]: Order 6108000551147 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.539Z [debug]: Order 6108210757867 (Date: 2025-02-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.539Z [debug]: Order 6108257157355 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.539Z [debug]: Order 6108298510571 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.539Z [debug]: Order 6108346482923 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.539Z [debug]: Order 6108383314155 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.539Z [debug]: Order 6108386296043 (Date: 2025-02-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.540Z [debug]: Order 6108410282219 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.540Z [debug]: Order 6108428894443 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.540Z [debug]: Order 6108447965419 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.540Z [debug]: Order 6108461269227 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.540Z [debug]: Order 6108461662443 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.725Z [debug]: Order 6108485976299 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:34.725Z [debug]: Order 6108489941227 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.726Z [debug]: Order 6108493381867 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.726Z [debug]: Order 6108511404267 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.726Z [debug]: Order 6108514484459 (Date: 2025-02-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.726Z [debug]: Order 6108518842603 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.726Z [debug]: Order 6108520841451 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.727Z [debug]: Order 6108527001835 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.727Z [debug]: Order 6108537061611 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.727Z [debug]: Order 6108537782507 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.727Z [debug]: Order 6108538732779 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.913Z [debug]: Order 6108539945195 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:34.914Z [debug]: Order 6108549939435 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.914Z [debug]: Order 6108550365419 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.914Z [debug]: Order 6108553347307 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.915Z [debug]: Order 6108560097515 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.915Z [debug]: Order 6108567273707 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.915Z [debug]: Order 6108595945707 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.915Z [debug]: Order 6108623438059 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.915Z [debug]: Order 6108626223339 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.915Z [debug]: Order 6108638314731 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.916Z [debug]: Order 6108644409579 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.916Z [debug]: Order 6108648308971 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.916Z [debug]: Order 6108651782379 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:34.916Z [debug]: Order 6108666855659 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:34.916Z [debug]: Order 6108724723947 (Date: 2025-02-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.096Z [debug]: Order 6108747530475 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:35.097Z [debug]: Order 6108760834283 (Date: 2025-02-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.097Z [debug]: Order 6108794814699 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.098Z [debug]: Order 6108797698283 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.098Z [debug]: Order 6108798910699 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.098Z [debug]: Order 6108803924203 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.098Z [debug]: Order 6108805791979 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.099Z [debug]: Order 6108830793963 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.099Z [debug]: Order 6108841410795 (Date: 2025-02-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.099Z [debug]: Order 6108853534955 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:35.099Z [debug]: Order 6108864577771 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:35.099Z [debug]: Order 6108866871531 (Date: 2025-02-16): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:03.116Z [debug]: Order 6303805079859 (Date: 2025-02-16): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
