2025-12-10T18:22:51.560Z [debug]: Order 6022267797739 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.560Z [debug]: Order 6022536069355 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.561Z [debug]: Order 6022593773803 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.561Z [debug]: Order 6022613172459 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.561Z [debug]: Order 6022635880683 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.561Z [debug]: Order 6022657016043 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.561Z [debug]: Order 6022666223851 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.561Z [debug]: Order 6022684868843 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.562Z [debug]: Order 6022685589739 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.562Z [debug]: Order 6022687031531 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.562Z [debug]: Order 6022695387371 (Date: 2024-12-07): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.562Z [debug]: Order 6022698762475 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.562Z [debug]: Order 6022703808747 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.562Z [debug]: Order 6022712590571 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.563Z [debug]: Order 6022715965675 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.563Z [debug]: Order 6022757384427 (Date: 2024-12-07): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:51.563Z [debug]: Order 6022758170859 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.563Z [debug]: Order 6022763970795 (Date: 2024-12-07): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:51.563Z [debug]: Order 6022766756075 (Date: 2024-12-07): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: true
