2025-12-10T18:24:04.459Z [debug]: Order 6547956728043 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.459Z [debug]: Order 6548635943147 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.459Z [debug]: Order 6548662452459 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.460Z [debug]: Order 6548679786731 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.460Z [debug]: Order 6548814069995 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.460Z [debug]: Order 6548830945515 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.460Z [debug]: Order 6548873642219 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.460Z [debug]: Order 6548879409387 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.460Z [debug]: Order 6548884816107 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.461Z [debug]: Order 6548898480363 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.461Z [debug]: Order 6548920926443 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.461Z [debug]: Order 6548921188587 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.461Z [debug]: Order 6548934590699 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.461Z [debug]: Order 6548944879851 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.461Z [debug]: Order 6548954775787 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.461Z [debug]: Order 6548969849067 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.462Z [debug]: Order 6549049377003 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.462Z [debug]: Order 6549057831147 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.462Z [debug]: Order 6549065433323 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.462Z [debug]: Order 6549096366315 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.462Z [debug]: Order 6549096956139 (Date: 2025-11-08): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.462Z [debug]: Order 6549110456555 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:04.462Z [debug]: Order 6549139947755 (Date: 2025-11-08): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
