2025-12-10T18:14:37.579Z [debug]: Order 5554095620331 (Date: 2023-12-16): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.579Z [debug]: Order 5554141135083 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.579Z [debug]: Order 5554171609323 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.579Z [debug]: Order 5554202575083 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.579Z [debug]: Order 5554234425579 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.579Z [debug]: Order 5554457051371 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554620006635 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554634227947 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554687541483 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554708807915 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554711003371 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554764579051 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554786566379 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.580Z [debug]: Order 5554789712107 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.736Z [debug]: Order 5554811928811 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:14:37.737Z [debug]: Order 5554820972779 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.737Z [debug]: Order 5554841813227 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.738Z [debug]: Order 5554847285483 (Date: 2023-12-16): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.738Z [debug]: Order 5554849153259 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.738Z [debug]: Order 5554849710315 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.738Z [debug]: Order 5554872516843 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.739Z [debug]: Order 5554905350379 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.739Z [debug]: Order 5554935300331 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.739Z [debug]: Order 5554936545515 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.739Z [debug]: Order 5554956665067 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.740Z [debug]: Order 5554957320427 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.740Z [debug]: Order 5554960302315 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.740Z [debug]: Order 5554996412651 (Date: 2023-12-16): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.740Z [debug]: Order 5555001393387 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.740Z [debug]: Order 5555008700651 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.741Z [debug]: Order 5555031212267 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.741Z [debug]: Order 5555042091243 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.741Z [debug]: Order 5555157205227 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.741Z [debug]: Order 5555177750763 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.741Z [debug]: Order 5555215335659 (Date: 2023-12-16): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.741Z [debug]: Order 5555225755883 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.742Z [debug]: Order 5555228803307 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.742Z [debug]: Order 5555233685739 (Date: 2023-12-16): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:14:37.742Z [debug]: Order 5555309641963 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.742Z [debug]: Order 5555324944619 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.742Z [debug]: Order 5555342999787 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:14:37.742Z [debug]: Order 5555372916971 (Date: 2023-12-16): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
