2025-12-10T18:18:56.353Z [debug]: Order 6012094316779 (Date: 2024-11-30): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.353Z [debug]: Order 6012109947115 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.353Z [debug]: Order 6012134457579 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.542Z [debug]: Order 6012151333099 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:56.543Z [debug]: Order 6012223979755 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.733Z [debug]: Order 6012332703979 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:56.733Z [debug]: Order 6012357509355 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.733Z [debug]: Order 6012361310443 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.734Z [debug]: Order 6012398076139 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.734Z [debug]: Order 6012398534891 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.734Z [debug]: Order 6012432580843 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.734Z [debug]: Order 6012443853035 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.735Z [debug]: Order 6012445458667 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.735Z [debug]: Order 6012484583659 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.735Z [debug]: Order 6012487106795 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.735Z [debug]: Order 6012498149611 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.735Z [debug]: Order 6012507226347 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.736Z [debug]: Order 6012515582187 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.736Z [debug]: Order 6012572336363 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.736Z [debug]: Order 6012619915499 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
