2025-12-10T18:16:03.379Z [debug]: Order 5656788435179 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:03.379Z [debug]: Order 5656830902507 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.533Z [debug]: Order 5656914559211 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:03.533Z [debug]: Order 5656939528427 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.533Z [debug]: Order 5656995954923 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.533Z [debug]: Order 5657165496555 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.534Z [debug]: Order 5657191022827 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.534Z [debug]: Order 5657200099563 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.534Z [debug]: Order 5657254789355 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.534Z [debug]: Order 5657282511083 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.534Z [debug]: Order 5657292243179 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.534Z [debug]: Order 5657305678059 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.534Z [debug]: Order 5657337561323 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.535Z [debug]: Order 5657347850475 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.696Z [debug]: Order 5657348145387 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:03.697Z [debug]: Order 5657357549803 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.849Z [debug]: Order 5657400180971 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:16:03.850Z [debug]: Order 5657414369515 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.850Z [debug]: Order 5657421938923 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.850Z [debug]: Order 5657429016811 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.850Z [debug]: Order 5657431277803 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.851Z [debug]: Order 5657433145579 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:16:03.851Z [debug]: Order 5657447825643 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:03.851Z [debug]: Order 5657456607467 (Date: 2024-03-02): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:16:04.005Z [debug]: Order 5657482133739 (Date: 2024-03-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
