2025-12-17T05:38:38.880Z [debug]: Order 6873375080641 (Date: 2025-12-02): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:51:02.568Z [debug]: Order 6578912657568 (Date: 2025-12-02): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:51:02.768Z [debug]: Order 6578943590560 (Date: 2025-12-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:51:02.769Z [debug]: Order 6579018989728 (Date: 2025-12-02): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:51:02.769Z [debug]: Order 6579292569760 (Date: 2025-12-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:51:02.769Z [debug]: Order 6579453493408 (Date: 2025-12-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:51:02.769Z [debug]: Order 6579502973088 (Date: 2025-12-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:51:02.971Z [debug]: Order 6579769737376 (Date: 2025-12-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:51:03.173Z [debug]: Order 6579994329248 (Date: 2025-12-02): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:26:53.783Z [debug]: Order 6873375080641 (Date: 2025-12-02): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
