2025-12-17T05:35:38.825Z [debug]: Order 6089387311297 (Date: 2024-09-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:38.825Z [debug]: Order 6090042900673 (Date: 2024-09-15): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:38.826Z [debug]: Order 6090156146881 (Date: 2024-09-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:38.826Z [debug]: Order 6090424582337 (Date: 2024-09-15): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.116Z [debug]: Order 5988770087072 (Date: 2024-09-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.116Z [debug]: Order 5989180571808 (Date: 2024-09-15): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:25.116Z [debug]: Order 5989547933856 (Date: 2024-09-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.117Z [debug]: Order 5989560844448 (Date: 2024-09-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:25.301Z [debug]: Order 5989686182048 (Date: 2024-09-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.078Z [debug]: Order 6089387311297 (Date: 2024-09-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.078Z [debug]: Order 6090042900673 (Date: 2024-09-15): Payment Gateways: [Gokwik Netbanking] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.078Z [debug]: Order 6090156146881 (Date: 2024-09-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:54.078Z [debug]: Order 6090424582337 (Date: 2024-09-15): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
