2025-12-17T05:37:30.373Z [debug]: Order 6364599582913 (Date: 2025-03-09): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:30.373Z [debug]: Order 6364696772801 (Date: 2025-03-09): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:30.373Z [debug]: Order 6364876406977 (Date: 2025-03-09): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:30.373Z [debug]: Order 6365122724033 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:30.373Z [debug]: Order 6365185835201 (Date: 2025-03-09): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:30.374Z [debug]: Order 6365304062145 (Date: 2025-03-09): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:30.374Z [debug]: Order 6365317169345 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:30.374Z [debug]: Order 6365327196353 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:30.374Z [debug]: Order 6365467050177 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.222Z [debug]: Order 6224589914272 (Date: 2025-03-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.222Z [debug]: Order 6224847175840 (Date: 2025-03-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.222Z [debug]: Order 6224864936096 (Date: 2025-03-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.222Z [debug]: Order 6224956391584 (Date: 2025-03-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.222Z [debug]: Order 6224989323424 (Date: 2025-03-09): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:08.222Z [debug]: Order 6225020289184 (Date: 2025-03-09): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:08.222Z [debug]: Order 6225057480864 (Date: 2025-03-09): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.214Z [debug]: Order 6364599582913 (Date: 2025-03-09): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.214Z [debug]: Order 6364696772801 (Date: 2025-03-09): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.214Z [debug]: Order 6364876406977 (Date: 2025-03-09): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.214Z [debug]: Order 6365122724033 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:43.214Z [debug]: Order 6365185835201 (Date: 2025-03-09): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.215Z [debug]: Order 6365304062145 (Date: 2025-03-09): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.215Z [debug]: Order 6365317169345 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:43.215Z [debug]: Order 6365327196353 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:43.215Z [debug]: Order 6365467050177 (Date: 2025-03-09): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
