2025-12-10T18:15:11.622Z [debug]: Order 5614925906155 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:11.623Z [debug]: Order 5614930264299 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:11.623Z [debug]: Order 5614958379243 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:11.782Z [debug]: Order 5614964211947 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:11.936Z [debug]: Order 5615062909163 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:11.937Z [debug]: Order 5615077359851 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:11.937Z [debug]: Order 5615253815531 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:11.937Z [debug]: Order 5615263351019 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:11.937Z [debug]: Order 5615281209579 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:11.938Z [debug]: Order 5615367749867 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:11.938Z [debug]: Order 5615369257195 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:11.938Z [debug]: Order 5615396487403 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.093Z [debug]: Order 5615419490539 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.094Z [debug]: Order 5615421554923 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.094Z [debug]: Order 5615425257707 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.095Z [debug]: Order 5615439216875 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.095Z [debug]: Order 5615462285547 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.095Z [debug]: Order 5615466545387 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.095Z [debug]: Order 5615469920491 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.095Z [debug]: Order 5615486468331 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.096Z [debug]: Order 5615486730475 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.096Z [debug]: Order 5615495086315 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.096Z [debug]: Order 5615510749419 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.250Z [debug]: Order 5615540797675 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:12.403Z [debug]: Order 5615552626923 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:12.557Z [debug]: Order 5615569731819 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:12.558Z [debug]: Order 5615575957739 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.558Z [debug]: Order 5615581823211 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.558Z [debug]: Order 5615589392619 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.558Z [debug]: Order 5615611576555 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.559Z [debug]: Order 5615666430187 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.559Z [debug]: Order 5615674917099 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.559Z [debug]: Order 5615678488811 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.559Z [debug]: Order 5615696216299 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.560Z [debug]: Order 5615775449323 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:12.560Z [debug]: Order 5615790948587 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.560Z [debug]: Order 5615819391211 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.722Z [debug]: Order 5615831515371 (Date: 2024-01-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:12.723Z [debug]: Order 5615864053995 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.723Z [debug]: Order 5615869853931 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:12.723Z [debug]: Order 5615882076395 (Date: 2024-01-22): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
