2025-12-17T05:35:41.396Z [debug]: Order 5897286779073 (Date: 2024-05-18): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:41.396Z [debug]: Order 5897853567169 (Date: 2024-05-18): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:41.396Z [debug]: Order 5897932964033 (Date: 2024-05-18): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:41.396Z [debug]: Order 5898025861313 (Date: 2024-05-18): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:24.559Z [debug]: Order 5798354550944 (Date: 2024-05-18): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:24.559Z [debug]: Order 5798808191136 (Date: 2024-05-18): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:24.560Z [debug]: Order 5798980747424 (Date: 2024-05-18): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:24.560Z [debug]: Order 5799504314528 (Date: 2024-05-18): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:24.744Z [debug]: Order 5799675363488 (Date: 2024-05-18): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:23:55.371Z [debug]: Order 5897286779073 (Date: 2024-05-18): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:55.371Z [debug]: Order 5897853567169 (Date: 2024-05-18): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:55.371Z [debug]: Order 5897932964033 (Date: 2024-05-18): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:55.371Z [debug]: Order 5898025861313 (Date: 2024-05-18): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
