2025-12-10T18:15:44.818Z [debug]: Order 5634946171115 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:44.818Z [debug]: Order 5634990342379 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:44.977Z [debug]: Order 5635002302699 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:44.978Z [debug]: Order 5635010003179 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635013968107 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635027992811 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635042246891 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635046899947 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635059679467 (Date: 2024-02-09): Payment Gateways: [gift_card] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635078914283 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635079176427 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:44.978Z [debug]: Order 5635084026091 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
