2025-12-17T05:37:30.374Z [debug]: Order 6367501156545 (Date: 2025-03-11): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:30.375Z [debug]: Order 6368011157697 (Date: 2025-03-11): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:30.375Z [debug]: Order 6368259178689 (Date: 2025-03-11): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:08.223Z [debug]: Order 6228409647264 (Date: 2025-03-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.223Z [debug]: Order 6228469481632 (Date: 2025-03-11): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:08.426Z [debug]: Order 6229022343328 (Date: 2025-03-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:08.628Z [debug]: Order 6229034303648 (Date: 2025-03-11): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:08.829Z [debug]: Order 6229219541152 (Date: 2025-03-11): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:50:08.830Z [debug]: Order 6229742878880 (Date: 2025-03-11): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.216Z [debug]: Order 6367501156545 (Date: 2025-03-11): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.216Z [debug]: Order 6368011157697 (Date: 2025-03-11): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:43.216Z [debug]: Order 6368259178689 (Date: 2025-03-11): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
