2025-12-17T05:37:28.798Z [debug]: Order 6343906623681 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:28.983Z [debug]: Order 6344236138689 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:37:29.207Z [debug]: Order 6344250065089 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:37:29.440Z [debug]: Order 6344267202753 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:08.004Z [debug]: Order 6205343826080 (Date: 2025-02-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.004Z [debug]: Order 6206100177056 (Date: 2025-02-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.004Z [debug]: Order 6206217683104 (Date: 2025-02-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.004Z [debug]: Order 6206331584672 (Date: 2025-02-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.005Z [debug]: Order 6206366220448 (Date: 2025-02-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.005Z [debug]: Order 6207098159264 (Date: 2025-02-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.005Z [debug]: Order 6207099961504 (Date: 2025-02-24): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.751Z [debug]: Order 6343906623681 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.931Z [debug]: Order 6344236138689 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:25:42.115Z [debug]: Order 6344250065089 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:25:42.296Z [debug]: Order 6344267202753 (Date: 2025-02-24): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
