2025-12-17T05:37:28.442Z [debug]: Order 6340594368705 (Date: 2025-02-22): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.442Z [debug]: Order 6340702109889 (Date: 2025-02-22): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:28.442Z [debug]: Order 6340785045697 (Date: 2025-02-22): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.620Z [debug]: Order 6341002199233 (Date: 2025-02-22): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:28.798Z [debug]: Order 6341203624129 (Date: 2025-02-22): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:07.804Z [debug]: Order 6203219411104 (Date: 2025-02-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:07.805Z [debug]: Order 6203328102560 (Date: 2025-02-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.805Z [debug]: Order 6203364999328 (Date: 2025-02-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:07.805Z [debug]: Order 6203450327200 (Date: 2025-02-22): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:08.001Z [debug]: Order 6203484405920 (Date: 2025-02-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:08.001Z [debug]: Order 6203499610272 (Date: 2025-02-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.002Z [debug]: Order 6203510587552 (Date: 2025-02-22): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:08.002Z [debug]: Order 6203614036128 (Date: 2025-02-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:08.002Z [debug]: Order 6203865497760 (Date: 2025-02-22): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:08.002Z [debug]: Order 6203916288160 (Date: 2025-02-22): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.386Z [debug]: Order 6340594368705 (Date: 2025-02-22): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:41.386Z [debug]: Order 6340702109889 (Date: 2025-02-22): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:41.386Z [debug]: Order 6340785045697 (Date: 2025-02-22): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:41.567Z [debug]: Order 6341002199233 (Date: 2025-02-22): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:41.750Z [debug]: Order 6341203624129 (Date: 2025-02-22): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
