2025-12-10T18:24:10.746Z [debug]: Order 6565074731243 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.746Z [debug]: Order 6565084496107 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.746Z [debug]: Order 6565148033259 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.746Z [debug]: Order 6565186568427 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.927Z [debug]: Order 6565639782635 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:10.927Z [debug]: Order 6565704597739 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.928Z [debug]: Order 6565781045483 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.928Z [debug]: Order 6565785600235 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.928Z [debug]: Order 6565796315371 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.928Z [debug]: Order 6565819875563 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.928Z [debug]: Order 6565850906859 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:10.929Z [debug]: Order 6565863817451 (Date: 2025-11-19): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
