2025-12-10T18:23:39.315Z [debug]: Order 6475979292907 (Date: 2025-09-27): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.315Z [debug]: Order 6475980407019 (Date: 2025-09-27): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.315Z [debug]: Order 6476026183915 (Date: 2025-09-27): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:39.316Z [debug]: Order 6476039422187 (Date: 2025-09-27): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.316Z [debug]: Order 6476071010539 (Date: 2025-09-27): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:39.316Z [debug]: Order 6476114690283 (Date: 2025-09-27): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.316Z [debug]: Order 6476134908139 (Date: 2025-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.317Z [debug]: Order 6476262113515 (Date: 2025-09-27): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:39.317Z [debug]: Order 6476595396843 (Date: 2025-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.317Z [debug]: Order 6477072728299 (Date: 2025-09-27): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.317Z [debug]: Order 6477104546027 (Date: 2025-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.317Z [debug]: Order 6477308887275 (Date: 2025-09-27): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.317Z [debug]: Order 6477328613611 (Date: 2025-09-27): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:39.317Z [debug]: Order 6477389332715 (Date: 2025-09-27): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:39.318Z [debug]: Order 6477417971947 (Date: 2025-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.318Z [debug]: Order 6477439697131 (Date: 2025-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:39.318Z [debug]: Order 6477440123115 (Date: 2025-09-27): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
